Term,Variable,Description,Category1|Category2|...
"webpage target","webpage","A collection target that generates the full HTML documentation website","software"
"webpage-sphinx target","webpage-sphinx","A build target that generates the Sphinx-based parts of the HTML documentation","software"
"configure_file","configure_file()","A CMake command that generates a file from a template, substituting variables","software"
"buildinfo.h","buildinfo.h","A generated header file containing build environment information","data format"
"config.h","config.h","A generated header file containing defines for conditional compilation","data format"
"gmxpre-config.h","gmxpre-config.h","A generated header file included first, containing pre-configuration defines","data format"
"baseversion-gen.cpp","baseversion-gen.cpp","A generated source file providing version information","data format"
"Change Management","Change Management","The process and tools used for managing revisions to the source code","process"
"gitlab","gitlab","The web-based Git repository manager used for GROMACS development","software"
"ssh key","ssh key","A cryptographic key pair used for secure authentication with gitlab","identifier"
"issues","issues","The feature in gitlab used for tracking bugs and feature requests","process"
"merge requests","merge requests","The feature in gitlab used for submitting and reviewing code changes","process"
"Continuous Integration","CI","The practice of automatically testing code changes as they are integrated","process"
"Labels","Labels","A feature in gitlab to categorize and filter issues and merge requests","identifier"
"Code Review","Code Review","The process of having other developers review code changes for correctness and quality","process"
"git rebase","git rebase","A git command to re-apply commits on top of another base tip","software"
"git stash","git stash","A git command to temporarily store modified tracked files","software"
"git commit --amend","git commit --amend","A git command to modify the most recent commit","software"
"git commit --fixup","git commit --fixup","A git command to create a commit that will be squashed into an earlier commit","software"
"Relocatable binaries","Relocatable binaries","The ability for installed GROMACS binaries to be moved to a different location and still function","software"
"RPATH","RPATH","A path embedded in an executable that specifies where to find shared libraries","identifier"
"LD_LIBRARY_PATH","LD_LIBRARY_PATH","An environment variable that lists directories to search for shared libraries","identifier"
"GMXLIB","GMXLIB","An environment variable to provide alternative locations for GROMACS data files","identifier"
"Documentation generation","Documentation generation","The process of building the GROMACS documentation from various sources","process"
"ImageMagick","ImageMagick","A software suite for image manipulation, used as a dependency for documentation","software"
"linkchecker","linkchecker","A tool used to check for broken links in the documentation","software"
"Style guidelines","Style guidelines","Rules and conventions for code formatting and naming in GROMACS","process"
"clang-format","clang-format","An automatic source code formatting tool used by GROMACS","software"
"Naming conventions","Naming conventions","Guidelines for naming files, variables, functions, and classes","process"
"CamelCase","CamelCase","A naming convention where words are joined without spaces, with each word's first letter capitalized","identifier"
"Hungarian notation","hungarian notation","A naming convention where a prefix indicates the variable's type (e.g., 'b' for boolean)","identifier"
"GPU API considerations","GPU API considerations","Specific coding guidelines for writing code that targets GPUs (CUDA, OpenCL, SYCL)","process"
"Error handling","Error handling","The approach and guidelines for managing runtime errors in GROMACS","process"
"static_assert","static_assert","A C++ feature to perform assertions at compile time","software"
"GMX_ASSERT","GMX_ASSERT","A GROMACS macro for assertions in debug and development builds","software"
"GMX_RELEASE_ASSERT","GMX_RELEASE_ASSERT","A GROMACS macro for assertions that are active in all build types","software"
"GMX_THROW","GMX_THROW","A GROMACS macro for throwing exceptions","software"
"RAII","RAII","Resource Acquisition Is Initialization, a C++ programming technique for resource management","method"
"Development-time tools","Development-time tools","Tools used by developers for tasks like documentation generation and code checking","software"
"Doxygen","Doxygen","A tool for generating documentation from annotated source code","software"
"Documentation flavors","Documentation flavors","Different levels of Doxygen documentation generated (e.g., user, lib, full, dev)","identifier"
"Doxygen groups","Doxygen groups","A Doxygen feature used to organize documentation into logical modules","software"
"defgroup","\defgroup","A Doxygen command to define a new documentation group","software"
"ingroup","\ingroup","A Doxygen command to add an item to an existing documentation group","software"
"addtogroup","\addtogroup","A Doxygen command to add a block of items to a documentation group","software"
"internal","\internal","A Doxygen command to mark documentation for inclusion only in the full documentation","software"
"libinternal","\libinternal","A GROMACS-specific Doxygen command to mark documentation for exclusion from the public API","software"
"inpublicapi","\inpublicapi","A GROMACS-specific Doxygen command to mark a header as part of the public API","software"
"inlibraryapi","\inlibraryapi","A GROMACS-specific Doxygen command to mark a header as part of the library API","software"
"cond","\cond","A Doxygen command to conditionally exclude a block of documentation","software"
