"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count"
"addAtomTypes","addAtomTypes","LEaP command to define element and hybridization for atom types","software","yes","72932,74793,74797,74802","4"
"addC4Pairwise","addC4Pairwise","Adds a pairwise 12-6-4 non-bonded interaction between two specific atoms","software|method","yes","74822,74826,74831,74888","4"
"addC4Type","addC4Type","Adds a 12-6-4 non-bonded interaction based on atom types","software|method","yes","74895,74899,74904,74946","4"
"addIons2","addIons2","A variant of addIons where solvent and solute are treated the same","software|method","yes","74953,74971,74976,75026,75057","5"
"addIonsRand","addIonsRand","LEaP command to add counterions by replacing random solvent molecules","software|method","yes","18192,18317,75078,75082,75087,75149,75155","7"
"addPath","addPath","LEaP command to add a directory to the file search path","software","yes","18104,18127,75172,75176,75181,75200","6"
"addPdbAtomMap","addPdbAtomMap","LEaP command to map atom names from a PDB file to internal residue definitions","software","yes","74172,75223,75227,75232","4"
"addPdbResMap","addPdbResMap","LEaP command to map residue names from a PDB file to LEaP variables","software","yes","74176,74252,74377,75274,75278,75283,75377","7"
"alias","alias","LEaP command to create a shortcut for a command or string","software","yes","3707,75405,75409,75414,75423,75424,75429,75435,75437,75441,75443,75444,199522,208265,208268,208269,208282,208285,208286,209362,209365,209366,209379,209382,209383","28"
"bondByDistance","bondByDistance","LEaP command to create bonds between all atoms within a certain distance","software","yes","75520,75524,75529,75561","4"
"check","check","LEaP command to check a unit for inconsistencies","software","yes","2008,3174,3843,4073,4199,7734,7928,8057,15946,17782,18322,36030,36158,36442,44918,44993,61701,68266,69305,70348,70433,70970,71110,71153,72315,73510,75565,75569,75574,75583,75626,75630,76843,79723,80965,80976,81647,86594,88877,90765,92148,93165,95292,98281,98607,99113,99123,99161,99171,100062,100090,103596,106597,111840,115101,115316,127138,127209,134885,136981,137040,140452,141215,150495,150752,165317,169042,169057,169062,169170,185337,188904,189132,189513,189562,190056,206241,207903,208734,216769","80"
"combine","combine","LEaP command to combine multiple units into a single unit without bonding them","software","yes","4441,75658,75662,75667,75676,75689,77527,77825,98175,98181,98778,140890,158924,180390,187523,188838,189357,189997,190052,190710","21"
"copy","copy","LEaP command to create an exact duplicate of an object","software","yes","3989,21064,29514,29577,29581,29721,67503,73354,73553,75151,75737,75741,75746,75777,75822,75823,75825,75827,81150,88404,105610,107448,131310,147311,147321,164219,164307,164317,164375,164588,164638,164643,180356,180361,180536,180648,180653,180658,180660,180661,184667,184669,184670,184693,184721,184724,184726,184734,184737,184749,184944,185031,185063,185103,185105,185111,185200,185211,185399,185417,185469,185475,185484,185486,185487,185562,185564,185717,185770,185773,193058,195406,195420,195429,195455,195479,216352,216367","79"
"createAtom","createAtom","LEaP command to create a new ATOM object","software","yes","72659,74627,74632,74637,75832,75836,75841,75869","8"
"createResidue","createResidue","LEaP command to create a new RESIDUE object","software","yes","72663,74667,75875,75879,75884,75904","6"
"createUnit","createUnit","LEaP command to create a new UNIT object","software","yes","72667,73106,74712,75910,75914,75919,75939","7"
"desc","desc","LEaP command to print a description of an object","software","yes","72769,73260,73264,73295,73299,75705,75976,75980,75985,76002,76008,76030,76036,76110,76117,76167,76205,77450,77539,77563,157177,157182,157232,157267","24"
"groupSelectedAtoms","groupSelectedAtoms","LEaP command to create a named group of selected atoms","software","yes","76171,76175,76180,76212","4"
"help","help","LEaP command to display help information","software","yes","1698,2403,2926,3016,3376,3393,3771,3774,3793,3912,20460,30483,35109,35148,36227,38888,42879,46495,51384,60114,62471,68307,68370,68540,69028,69305,69323,69329,71175,71180,73332,73376,74574,76268,76272,76291,83721,83829,87266,87272,87290,89588,89680,89787,90141,90150,90660,92250,94190,96624,97886,98861,99605,99860,100005,100205,100492,100545,100727,100788,100862,101132,103560,106119,111277,111279,114829,118086,127637,131699,131929,140076,149099,149123,152380,152848,157743,157767,162907,165378,166251,167455,167697,168104,168126,169249,169273,169927,170103,170271,170326,172556,172574,173290,173341,175870,179839,180080,180269,180417","147"
"list","list","LEaP command to list all currently defined variables","software","yes","23,30,3395,3449,3486,3584,3704,3733,3772,3793,3861,3909,4222,21695,26617,28952,29501,29565,29577,29656,30067,30389,33055,35043,35473,35687,36059,37417,37421,37447,37492,37494,37496,38554,38555,38619,38634,38644,38645,38657,39885,41504,41557,41559,42007,42009,42072,42087,42097,42098,42110,49138,49371,49415,52838,54144,54161,54178,54544,54562,54880,55111,55223,55671,55971,56434,57474,58529,58966,59120,59584,59720,59813,59815,59856,59858,62687,63457,63495,63533,63557,63576,63595,64065,64066,64096,64117,64226,64227,64229,64246,64247,64249,64266,64267,64269,66749,67064,67087,67110","415"
"loadOff","loadOff","LEaP command to load an OFF library file","software","yes","4896,4928,7627,74134,77176,77180,77185,77212,77249","9"
"loadPdbUsingSeq","loadPdbUsingSeq","LEaP command to load a PDB file using a user-defined sequence","software","yes","74266,74306,77317,77321,77326,77362","6"
"logFile","logFile","LEaP command to specify a file for logging all input and output","software","yes","68487,73372,73399,77380,77384,77389,77410,83910,98845,98873,127082,167046","12"
"measureGeom","measureGeom","LEaP command to measure distance, angle, or torsion","software","yes","77414,77418,77423,77441,77466","5"
"quit","quit","LEaP command to exit the program","software","yes","4075,15104,18212,77474,77478,81240,84011,87733,88593,88598,88609,90043,92051,123769,124873,147983,190033,191533,191885,192652,192833,192872","22"
"remove","remove","LEaP command to remove an object from a container","software","yes","2384,3981,7724,16641,25826,29888,47156,67769,68385,68390,68797,68943,73115,74272,75423,77482,77486,77491,77500,77518,77559,89087,89493,90961,97597,110301,110472,112969,113077,113180,118301,118317,118319,118335,128115,128120,134815,140345,141363,143070,147940,148108,151010,175660,177892,192847,210516,215417,216336","49"
"saveMol2","saveMol2","LEaP command to save a unit in Tripos mol2 format","software","yes","77633,77637,77642","3"
"saveOff","saveOff","LEaP command to save objects to an OFF library file","software","yes","74767,77123,77682,77686,77691,77702,77735","7"
"set","set","LEaP command to set default parameters or properties of objects","software","yes","2484,2527,2545,2581,2761,3395,3449,3484,3549,3551,3827,4030,4041,4106,4116,4127,4135,4156,4190,4708,4755,4857,5247,5282,5284,5291,5294,5335,5373,5382,5401,5427,5434,5826,6620,6702,6828,6857,7303,7345,7647,7769,8064,8243,8663,8700,8724,9718,13553,13589,15013,15221,15316,15317,15357,15385,15390,15391,15537,15556,15613,15634,15679,15695,15705,15721,15737,15757,15777,15797,15818,15839,15860,15898,15956,15957,15966,15975,15990,15993,15997,16005,16007,16008,16009,16038,16046,16047,16049,16053,16062,16064,16068,16073,16112,16232,17747,17954,18059,18063","1215"
"setBox","setBox","LEaP command to create a periodic box around a solute","software","yes","78444,78448,78453,78470,78502,105771","6"
"solvateCap","solvateCap","LEaP command to create a spherical solvent cap around a solute","software","yes","73208,78627,78631,78636,78647,78751","6"
"solvateShell","solvateShell","LEaP command to add a solvent shell of a specified thickness around a solute","software","yes","78755,78759,78764,78775,78839","5"
"source","source","LEaP command to execute commands from a script file","software","yes","2478,2537,2783,3380,3408,3610,3614,3616,3619,3813,3874,4455,4478,4483,4488,4493,4498,4778,4892,4924,5465,5522,6047,7500,7548,7564,7584,7593,14290,14294,14818,15079,15551,15586,16451,16455,16478,17752,18108,18132,18312,19899,22185,23270,32955,32974,32991,33036,33045,33055,44952,47624,47899,51431,55827,56104,56124,57065,58232,58686,59510,64726,65949,67444,67464,67467,70434,71110,71153,73389,74096,78843,78847,79000,79875,80239,80480,80810,81160,81165,81517,81648,83966,88882,88887,88898,90193,92035,94431,94908,119363,124892,124926,127882,128395,133821,138775,165388,166168,167956","115"
"transform","transform","LEaP command to apply a symmetry transformation matrix to atoms","software","yes","31968,32194,33447,76277,78852,78874,78878,78883,78892,78936,115244,115878","12"
"translate","translate","LEaP command to translate atoms by a given vector","software","yes","73898,73930,73938,73939,74002,74011,78162,78940,78944,78949,78958,78974,96480,105610,107504,165411,165413,213475","18"
"verbosity","verbosity","LEaP command to set the level of output messages","software","yes","4029,4037,46284,46289,46294,50468,50473,54935,54940,54945,54946,58532,59123,61936,61941,61946,61964,61973,62193,62198,62203,62221,62230,62285,65699,73378,73379,73381,77404,78868,78978,78982,78987,79005,79009,94199,97946,121305,121310,137418,137423,138134,138139,139414,139419,139424,191530,211667","49"
"zMatrix","zMatrix","LEaP command to define Cartesian coordinates using internal coordinates","software","yes","72870,74142,74742,79013,79017,79022,79027,79033,79043,79317,79401","11"
"GLYCAM-Web","GLYCAM-Web","A web server for building carbohydrate and glycoprotein structures","software|data source","yes","7898,7906,79421,79433","4"
"Man-p-(1–4)-β-d-GlcpNAc-(1–4)-β-d-GlcpNAc-OH","Man-p-(1–4)-β-d-GlcpNAc-(1–4)-β-d-GlcpNAc-OH","Chemical structure of a trisaccharide core common in N-glycans.","chemical entity|model","no","","0"
"β-d-mannopyranose","β-d-mannopyranose","A specific mannose sugar isomer, often a branch point.","chemical entity","no","","0"
"ROH","ROH","Residue name for a reducing-end hydroxyl group in GLYCAM.","identifier|chemical entity","yes","22763,76586,79658,79862,79879,79955,80224,80243,80485","9"
"4YB","4YB","Residue name for β-D-GlcpNAc in GLYCAM nomenclature.","identifier|chemical entity","yes","79838,79862,79879,79919,79924,79928,80224,80243,80319,80327,80485,81119","21"
"VMB","VMB","Residue name for a 3,6-branched β-D-mannopyranose in GLYCAM.","identifier|chemical entity","yes","80216,80224,80233,80243,80251,80261,80292,80311,80335,80485,81119","11"
"0MA","0MA","Residue name for α-D-Manp in GLYCAM nomenclature.","identifier|chemical entity","yes","79831,79862,79879,80224,80234,80256,80265,80269,80296,80311,80335,80505,80515,80525","17"
"set glycan tail","set glycan tail","LEaP command to define the attachment point for subsequent residues.","software|process","yes","80261,80292,80490,80500,80510,80520","6"
"Man-9","Man-9","A specific high-mannose N-glycan with nine mannose residues.","chemical entity","yes","80379","1"
"Consortium for Functional Glycomics","Consortium for Functional Glycomics","An organization providing resources and standards for glycan representation.","data source|model","yes","7907,80379","2"
"VMA","VMA","Residue name for a 3,6-branched α-D-Manp residue.","identifier|chemical entity","yes","80450,80495","2"
"2MA","2MA","Residue name for a 2-linked α-D-Manp residue.","identifier|chemical entity","yes","80505,80515,80525","4"
"DMPC","DMPC","1,2-dimyristoyl-sn-glycero-3-phosphocholine, a common model lipid.","chemical entity","yes","80689,80690,80727,80753,80767,80771,80895,80900","9"
"CHO","CHO","Fragment name for the choline head group in GLYCAM lipids.","identifier|chemical entity","yes","80690,80820,80835","5"
"PGL","PGL","Fragment name for the phospho-glycerol group in GLYCAM lipids.","identifier|chemical entity","yes","80699,80825,80830,80835,80845,80860,80875","11"
"MYR","MYR","Fragment name for the sn-1 chain myristic acid tail.","identifier|chemical entity","yes","80707,80835,80860","3"
"MY2","MY2","Fragment name for the sn-2 chain myristic acid tail.","identifier|chemical entity","yes","80715,80850,80875","4"
"Glycoprotein","Glycoprotein","A protein with one or more covalently attached glycans.","chemical entity","yes","7968,8040,79489,79493,79504,79844,80913,80917,81058,81082","10"
"N-linked glycosylation","N-linked glycosylation","Attachment of a glycan to an asparagine (Asn) residue.","process|model","no","","0"
"O-linked glycosylation","O-linked glycosylation","Attachment of a glycan to a serine (Ser) or threonine (Thr) residue.","process|model","no","","0"
"Ribonuclease A","Ribonuclease A","A protein used as an example for glycosylation.","chemical entity","yes","80931","1"
"PDBID","PDBID","Protein Data Bank identifier, a unique code for structures.","identifier","yes","68327,68454,80931","4"
"3RN3","3RN3","PDBID for bovine ribonuclease A.","identifier|data source","yes","80931,80978,81089","3"
"Disulfide bond","SSBOND","A covalent bond between two cysteine residues.","chemical entity|model","yes","68658,74302,74308,80976","4"
