"Term","Variable","Description","Category1|Category2|...","really found?","page_numbers","occurrence_count","removal_reason"
"Intel clang-based compiler","icx/icpx","The currently supported Intel compiler based on Clang","software","yes","793","1","Lower-priority member of semantic cluster led by row 820 (Champion: 'Intel clang-based compiler')"
"Intel classic compiler","icc/icpc","A no longer supported Intel C/C++ compiler","software","yes","17,793","2","Lower-priority member of semantic cluster led by row 822 (Champion: 'Intel classic compiler')"
"Intel integrated GPUs","Intel integrated GPUs are now supported for GPU offload with OpenCL","A feature to offload nonbonded tasks to integrated Intel GPUs","software","yes","28,98,114,848,849","6","Lower-priority member of semantic cluster led by row 824 (Champion: 'Intel integrated GPUs')"
"Interactive molecular dynamics (IMD)","Interactive molecular dynamics (IMD)","A technique that allows real-time interaction with a running simulation","method","yes","227,551","2","Lower-priority member of semantic cluster led by row 826 (Champion: 'Interactive molecular dynamics (IMD)')"
"internal","\internal","A Doxygen command to mark documentation for inclusion only in the full documentation","software","yes","14,20,24,32,33,53,95,236,250,364,365,368,377,392,402,425,449,469,473,539,540,573,613,622,628,646,662,664,665,666,668,673,675,676,677,678,680,681,684,686,687,691,699,700,709,712,728,730,749,760,762,763,769,773,782,785,792,813,830,831,845,847,850,873,884,885,897,900","91","Lower-priority member of semantic cluster led by row 828 (Champion: 'internal')"
"issues","issues","The feature in gitlab used for tracking bugs and feature requests","process","yes","2,9,17,20,21,22,26,27,38,39,45,47,52,64,101,115,141,150,165,177,181,185,186,199,200,208,234,244,252,280,283,311,337,339,371,388,396,411,461,488,522,523,535,550,600,615,616,623,645,649,651,653,654,655,660,661,662,663,664,670,671,672,675,677,699,700,701,706,712,713,719,720,722,730,731,732,736,739,740,742,746,749,750,752,754,757,759,761,770,771,773,775,776,777,778,779,781,791,794,796","219","Lower-priority member of semantic cluster led by row 830 (Champion: 'issues')"
"Job parameters","Job parameters","Keywords in the .gitlab-ci.yml file that control how a job is executed","identifier","yes","689","3","Lower-priority member of semantic cluster led by row 832 (Champion: 'Job parameters')"
"Kilojoule per mole","kJ/mol","A unit of energy commonly used in simulations","unit","no","","0","Lower-priority member of semantic cluster led by row 835 (Champion: 'kJ/mol')"
"kJ/mol/nm^2","kJ/mol nm^2","A unit for a harmonic force constant","unit","yes","270,311","2","Lower-priority member of semantic cluster led by row 837 (Champion: 'kJ/mol/nm^2')"
"L-BGFS minimizer","Fix L-BGFS minimizer","A fix for the minimizer failing on a number of systems","algorithm","yes","844","1","Lower-priority member of semantic cluster led by row 839 (Champion: 'L-BGFS minimizer')"
"Labels","Labels","A feature in gitlab to categorize and filter issues and merge requests","identifier","yes","9,156,311,312,334,654,655,656,672,837","17","Lower-priority member of semantic cluster led by row 840 (Champion: 'Labels')"
"LD_LIBRARY_PATH","LD_LIBRARY_PATH","An environment variable that lists directories to search for shared libraries","identifier","yes","22,659","3","Lower-priority member of semantic cluster led by row 842 (Champion: 'LD_LIBRARY_PATH')"
"Legacy API","Legacy API","Older GROMACS headers and library functions that are deprecated","software","yes","650,728,749,766,769,792,813","7","Lower-priority member of semantic cluster led by row 847 (Champion: 'Legacy API')"
"Legacy API","Legacy API","Older GROMACS APIs that are intended for internal consumption only and are subject to change","software","yes","650,728,749,766,769,792,813","7","Lower-priority member of semantic cluster led by row 847 (Champion: 'Legacy API')"
"Legacy API","Legacy API","Older GROMACS APIs that are intended for internal consumption and subject to change","software","yes","650,728,749,766,769,792,813","7","Lower-priority member of semantic cluster led by row 847 (Champion: 'Legacy API')"
"Legendre polynomial","Legendre polynomial","A class of orthogonal polynomials used in the expansion of functions","model","yes","139,140,150,170,172,177,191,206,213,263,264,286,305,567","15","Lower-priority member of semantic cluster led by row 850 (Champion: 'Legendre polynomial')"
"Legendre polynomial","Legendre polynomial","A class of orthogonal polynomials used in the expansion of functions","model","yes","139,140,150,170,172,177,191,206,213,263,264,286,305,567","15","Lower-priority member of semantic cluster led by row 850 (Champion: 'Legendre polynomial')"
"libgromacs CMake target","Fix INTERFACE_INCLUDE_DIRECTORIES for libgromacs CMake target","A fix for a malformed CMake target referencing non-existent directories","software","yes","643,716,809,822","5","Lower-priority member of semantic cluster led by row 851 (Champion: 'libgromacs CMake target')"
"libinternal","\libinternal","A GROMACS-specific Doxygen command to mark documentation for exclusion from the public API","software","yes","678,680,681,684,685,686","22","Lower-priority member of semantic cluster led by row 853 (Champion: 'libinternal')"
"LibTorch","LibTorch","The C++ distribution of the PyTorch library","software","yes","33,558,559,695,724","13","Lower-priority member of semantic cluster led by row 856 (Champion: 'Libtorch')"
"LINCS algorithm","LINCS","A parallelizable algorithm for constraining bond lengths","algorithm","yes","399,411","4","Lower-priority member of semantic cluster led by row 857 (Champion: 'LINCS')"
"Linear Angle potential","Linear Angle potential","A potential designed for linear molecules","model","yes","425,790,795","6","Lower-priority member of semantic cluster led by row 860 (Champion: 'Linear angle potential')"
"linkchecker","linkchecker","A tool used to check for broken links in the documentation","software","yes","662","2","Lower-priority member of semantic cluster led by row 861 (Champion: 'linkchecker')"
"LJ PME free energy","Fixed free energy calculations with LJ PME","A fix for wrong long-range corrections with vdwtype=pme in free energy calculations","method","no","","0","Lower-priority member of semantic cluster led by row 863 (Champion: 'LJ PME free energy')"
"LJ repulsion force switching on GPUs","Fix incorrect LJ repulsion force switching on GPUs","A fix for a wrong sign in the LJ repulsion force switching coefficient on GPUs","software","yes","846,855","2","Lower-priority member of semantic cluster led by row 865 (Champion: 'LJ repulsion force switching on GPUs')"
"LJ-PME and dispersion correction","Fix assertion failure with LJ-PME and dispersion correction","A fix for an assertion failure during PME tuning with this combination","software","yes","821","1","Lower-priority member of semantic cluster led by row 867 (Champion: 'LJ-PME and dispersion correction')"
"Luzar and Chandler model","model of Luzar and Chandler","A model for analyzing the kinetics of hydrogen bond breaking and formation","model","no","","0","Lower-priority member of semantic cluster led by row 869 (Champion: 'Luzar and Chandler model')"
"make-release-build.py","make-release-build.py","A script for automating release-related build and pipeline tasks","software","yes","693","2","Lower-priority member of semantic cluster led by row 871 (Champion: 'make-release-build.py')"
"man target","man","A build target that generates man pages for GROMACS programs","software","yes","649,661","2","Lower-priority member of semantic cluster led by row 873 (Champion: 'man target')"
"manual target","manual","A build target that generates the reference manual in PDF format","software","yes","650","1","Lower-priority member of semantic cluster led by row 875 (Champion: 'manual target')"
"md-vv integrator","md-vv","An integrator for which issues with global reduction were fixed","algorithm|integrator","yes","829,893","2","Lower-priority member of semantic cluster led by row 877 (Champion: 'Velocity Verlet integrator')"
"md-vv integrator","md-vv","An integrator for which issues with global reduction in the modular simulator were fixed","algorithm|integrator","yes","829,893","2","Lower-priority member of semantic cluster led by row 877 (Champion: 'Velocity Verlet integrator')"
"md-vv integrator","md-vv","An integrator for which issues with global reduction in the modular simulator were fixed","algorithm|integrator","yes","829,893","2","Lower-priority member of semantic cluster led by row 877 (Champion: 'Velocity Verlet integrator')"
"mdrun","gmx mdrun","The main GROMACS program for running simulations","software","yes","3,4,15,26,31,34,36,37,40,43,45,46,47,48,50,54,58,60,62,63,75,77,80,84,89,92,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,123,124,125,127,128,129,133,202,221,226,227,229,235,297,298,300,301,305,315,317,318,319,323,340,344,345,346,347,348,356,357,379,380,397,402,403,404,408,410,411,412,413,416,431,432,436,456,460,485,494,495","693","Lower-priority member of semantic cluster led by row 882 (Champion: 'mdrun')"
"mdrun -ddorder pp_pme","mdrun -ddorder pp_pme","A fix for a deadlock when using this rank ordering","software","yes","801","1","Lower-priority member of semantic cluster led by row 884 (Champion: 'mdrun -ddorder pp_pme')"
"mdrun -deffnm","mdrun -deffnm","A deprecated mdrun option for setting a default filename prefix","identifier","yes","550,728,748,768,791,811,890","12","Lower-priority member of semantic cluster led by row 886 (Champion: 'mdrun -deffnm')"
"mdrun -deffnm","mdrun -deffnm","A deprecated mdrun option for setting a default filename prefix","identifier","yes","550,728,748,768,791,811,890","12","Lower-priority member of semantic cluster led by row 886 (Champion: 'mdrun -deffnm')"
"mdrun -deffnm","mdrun -deffnm to be removed","A deprecated feature for grouping files by a common prefix","software","yes","550,728,748,768,791,811,890","12","Lower-priority member of semantic cluster led by row 886 (Champion: 'mdrun -deffnm')"
"mdrun -multidir","Fix fatal error with mdrun -multidir with more than 1 rank per simulation","A fix for a fatal error with this option","software","yes","80,96,116,826,827,853","10","Lower-priority member of semantic cluster led by row 889 (Champion: 'mdrun -multidir')"
"mdrun -multidir with shared state","Add fatal error for mdrun -multidir when simulations sharing state start at different step","A fix to issue a fatal error when simulations in a multi-simulation run start at different steps","software","no","","0","Lower-priority member of semantic cluster led by row 891 (Champion: 'mdrun -multidir with shared state')"
"mdrun -nsteps option","Fixed mdrun -nsteps option","A fix for the deprecated -nsteps option to allow extending simulations","identifier","yes","844","1","Lower-priority member of semantic cluster led by row 893 (Champion: 'mdrun -nsteps option')"
"mdrun -update auto","mdrun -update auto","An option that now defaults to GPU update if supported","identifier","yes","345,765","2","Lower-priority member of semantic cluster led by row 897 (Champion: 'mdrun -update auto')"
"mdrun -update auto","mdrun -update auto","An option that now defaults to GPU update if supported, improving performance","identifier","yes","345,765","2","Lower-priority member of semantic cluster led by row 897 (Champion: 'mdrun -update auto')"
"mdrun -update auto","mdrun -update auto","An option that now defaults to GPU update if supported, giving a significant performance improvement","identifier","yes","345,765","2","Lower-priority member of semantic cluster led by row 897 (Champion: 'mdrun -update auto')"
"mdrun MPI rank count","Allow large prime factors in the mdrun MPI rank count","A fix to allow domain decomposition to run with large prime factors in the MPI rank count","software","yes","826","1","Lower-priority member of semantic cluster led by row 899 (Champion: 'mdrun MPI rank count')"
"mdrun with multiple ranks and separate PME ranks","Fix deadlock in mdrun runs with multiple ranks and separate PME ranks","A fix for a deadlock that could occur before PP-PME balancing","software","no","","0","Lower-priority member of semantic cluster led by row 901 (Champion: 'mdrun with multiple ranks and separate PME ranks')"
"mdrun with shells and GPU update","Avoid mdrun assertion failure when running with shells and update on a GPU","A fix to make mdrun fall back to CPU or error out when attempting this unsupported combination","software","no","","0","Lower-priority member of semantic cluster led by row 903 (Champion: 'mdrun with shells and GPU update')"
