[Term],[Variable],[Description],[Category1|Category2|...]
"Center Region Mask","centermask","Amber selection mask that defines the center region.","identifier|data format"
"DFTB 3rd Order Correction","dftb_3rd_order","Specifies the 3rd-order DFTB correction method.","method|model"
"QM Theory","qm_theory","String defining the level of quantum mechanics theory to use.","model|method"
"Potential Energy Terms","pot_ene","Data structure containing components of the potential energy.","data format"
"Total Potential Energy","tot","The total potential energy of the system.","measure"
"Van der Waals Energy","vdw","The van der Waals contribution to the total energy.","measure"
"Electrostatic Energy","elec","The electrostatic contribution to the total energy.","measure"
"Generalized Born Energy","gb","Polar solvation free energy from Generalized Born calculations.","measure"
"Bond Energy","bond","The energy contribution from valence bonds.","measure"
"Angle Energy","angle","The energy contribution from valence angles.","measure"
"Dihedral Energy","dihedral","The energy contribution from valence torsions.","measure"
"1-4 Van der Waals Energy","vdw_14","The energy contribution from 1-4 van der Waals interactions.","measure"
"1-4 Electrostatic Energy","elec_14","The energy contribution from 1-4 electrostatic interactions.","measure"
"Restraint Energy","constraint","The total restraint energy from NMR or positional restraints.","measure"
"Polarization Energy","polar","The polarization energy if using a polarizable force field.","measure"
"10-12 H-bond Energy","hbond","The 10-12 contribution to the total energy.","measure"
"Surface Area Energy","surf","The non-polar solvation free energy contribution from GB/PB.","measure"
"Self-Consistent Field Energy","scf","The QM energy contribution to the total energy.","measure"
"Dispersion Energy","disp","The dispersion energy contribution to the total energy.","measure"
"Urey-Bradley Energy","angle_ub","The Urey-Bradley contribution to the total energy (CHARMM).","measure"
"Improper Torsion Energy","imp","The improper torsion contribution to the total energy (CHARMM).","measure"
"Correction Map Energy","cmap","The correction map energy contribution for coupled torsions (CHARMM).","measure"
"Electron Density Map Restraint Energy","emap","Restraint energy from violations to an electron density map.","measure"
"Locally Enhanced Sampling Energy","les","The total energy contributed by the LES copies.","measure"
"NOE Violation Energy","noe","The energy penalty for Nuclear Overhauser Effect (NOE) violations.","measure"
"Poisson-Boltzmann Energy","pb","The total polar solvation free energy from PB calculations.","measure"
"3D-RISM Solvation Energy","rism","The total solvation free energy from 3D-RISM calculations.","measure"
"Charge Transfer Energy","ct","The charge transfer energy contribution.","measure"
"Accelerated MD Boost Energy","amd_boost","The boosting energy from Accelerated Molecular Dynamics.","measure"
"Sander","sander","A molecular dynamics simulation program in the Amber suite.","software"
"Sander API","sander_api","Application Programming Interface for the sander program.","software"
"Gas-phase/GB Sander Input","gas_sander_input","Function to initialize sander input for gas-phase or GB calculations.","process|software"
"PME Sander Input","pme_sander_input","Function to initialize sander input for PME calculations.","process|software"
"QM Sander Input","qm_sander_input","Function to initialize QM/MM input options with defaults.","process|software"
"Sander Setup","sander_setup","Function to set up the sander API for calculations.","process|software"
"Set Positions","set_positions","Function to set the active atomic coordinates in the API.","process|software"
"Set Box","set_box","Function to set the unit cell dimensions in the API.","process|software"
"Get Sander Atom Count","sander_natom","Function that returns the number of atoms in the system.","process|software"
"Get Positions","get_positions","Function to retrieve the current atomic coordinates from the API.","process|software"
"Get Inpcrd Atom Count","get_inpcrd_natom","Function to read the number of atoms from an inpcrd file.","process|software"
"Read Inpcrd File","read_inpcrd_file","Function to read coordinates and box from an inpcrd file.","process|software"
"Check Setup Status","is_setup","Function that returns whether a system is currently set up.","process|software"
"Calculate Energy and Forces","energy_forces","Function to compute the energy and forces for the current coordinates.","process|software"
"Sander Cleanup","sander_cleanup","Function to clear internal memory allocated by the sander API.","process|software"
"Amber Coordinate/Restart File","inpcrd","Amber file format for atomic coordinates and restart information.","data format"
"Amber Parameter/Topology File","prmtop","Amber file format for force field parameters and molecular topology.","data format"
"PMEMD","pmemd","High-performance molecular dynamics engine in the Amber suite.","software"
"Particle Mesh Ewald","Particle Mesh Ewald","An efficient algorithm for computing long-range electrostatic interactions.","algorithm|method"
"Isotropic Periodic Sums","Isotropic Periodic Sums","A method for handling long-range interactions in non-periodic systems.","method|algorithm"
"Middle Thermostat Scheme","middle thermostat","A specific thermostatting algorithm for temperature control.","algorithm|method"
"Thermodynamic Integration","Thermodynamic Integration","A method to compute free energy differences between states.","method|process"
"Free Energy Perturbation","FEP","A method for calculating free energy differences via perturbation.","method|process"
"Multistate Bennett Acceptance Ratio","MBAR","A statistical method for calculating free energy differences from multiple states.","method|algorithm"
"Adaptively Biased MD","Adaptively biased MD","An enhanced sampling technique that applies a bias to the system.","method|algorithm"
"12-6-4 Ionic Potential","12-6-4 potential","A specific potential form for modeling ion-atom interactions.","model"
"Gaussian Accelerated Molecular Dynamics","Gaussian accelerated molecular dynamics","An enhanced sampling method that adds a harmonic boost potential.","method|algorithm"
"Semi-Isotropic Pressure Scaling","Semi-Isotropic pressure scaling","A pressure coupling scheme allowing different scaling in xy and z dimensions.","method|algorithm"
"Constant pH Molecular Dynamics","Constant pH MD","A simulation method that allows protonation states to change dynamically.","method|process"
"Replica Exchange Molecular Dynamics","REMD","An enhanced sampling method using parallel simulations at different temperatures.","method|algorithm"
"Locally Enhanced Sampling","LES","An enhanced sampling method focusing computational effort on a subregion.","method|algorithm"
"AMOEBA Force Field","iamoeba","A polarizable force field model.","model"
"Non-bonded Flag","nbflag","Flag to control non-bonded list update scheduling.","method|process"
"Direct Sum Coulomb Method","eedmeth","Method for the direct space part of the Ewald sum.","method|algorithm"
"mdout Flush Interval","mdout_flush_interval","Controls the time interval for flushing the main output file.","measure|process"
"mdinfo Flush Interval","mdinfo_flush_interval","Controls the time interval for flushing the info file.","measure|process"
"Electrostatic Cutoff","es_cutoff","Cutoff distance for direct space electrostatic interactions in PME.","measure|unit"
"Van der Waals Cutoff","vdw_cutoff","Cutoff distance for van der Waals interactions.","measure|unit"
"Intermolecular Bonds Flag","no_intermolecular_bonds","Controls how molecules connected by bonds are treated for pressure calculations.","method|process"
"Energy Averaging Sampling","ene_avg_sampling","Frequency of energy sampling for running averages.","measure|process"
"Axis Optimization","use_axis_opt","Flag to control reorientation of unit cell axes for performance.","process|algorithm"
"FFT Grids per Angstrom","fft_grids_per_ang","Sets the density of the Fast Fourier Transform grid.","measure|algorithm"
"FFT Grid Dimensions","nfft1, nfft2, nfft3","The dimensions of the Fast Fourier Transform grid.","measure|algorithm"
"NetCDF Trajectory Format","netCDF","A binary file format for storing trajectory data efficiently.","data format"
"Multiple Time-Stepping Algorithm","respa","An algorithm that uses different time steps for different interactions.","algorithm|method"
"RESPA Flag","nrespa","Flag to enable the RESPA multiple time-stepping algorithm.","algorithm|method"
"PMEMD GPU Version","pmemd.cuda","GPU-accelerated version of the pmemd program.","software"
"PMEMD GPU MPI Version","pmemd.cuda.MPI","Multi-GPU parallel version of the pmemd.cuda program.","software"
"CUDA","CUDA","NVIDIA's parallel computing platform and programming model for GPUs.","software"
"SPFP Precision Model","SPFP","Hybrid Single/Fixed Precision model for GPU calculations.","model|method"
"DPFP Precision Model","DPFP","Double Precision/Fixed Precision model for GPU calculations.","model|method"
"SPXP Precision Model","SPXP","Experimental Single/Mixed Precision model for GPU calculations.","model|method"
"Belly Constraints","ibelly","A type of positional restraint applied to a group of atoms.","method|algorithm"
"PME Interpolation Order","order","The order of B-spline interpolation used in PME.","measure|algorithm"
"EMAP Restraints","iemap","Restraints based on electron microscopy map data.","method|algorithm"
