"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count","removal_reason"
"Amber Parameter/Topology File","prmtop","Amber file format for force field parameters and molecular topology.","data format","yes","1886,14934,15099,16113,16116,16124,16150,16463,17776,18202,19627,19678,19750,22161,22172,22511,22532,23743,23783,24551,24583,24603,27054,27770,27771,29442,29447,29540,29549,40660,40667,40678,43330,43554,48610,48621,49046,49053,49073,49354,49371,50035,50971,50994,55770,61549,61569,61574,61579,61584,67521,67547,68923,68933,68951,68974,74118,74863,74929,77922,80640,81557,83750,83793,83801,83813,83863,84038,84438,84443,84445,84549,84553,84619,84796,84810,84823,84826,84844,85266,85277,85278,85279,85292,85301,85461,85475,85488,85491,85509,85931,85942,85943,85944,85957,85966,86000,86299,86303,86371","341","Lower-priority member of semantic cluster led by row 615 (Champion: 'Topology File')"
"prmtop","prmtop","Amber parameter and topology file for a molecular system","data format","yes","1886,14934,15099,16113,16116,16124,16150,16463,17776,18202,19627,19678,19750,22161,22172,22511,22532,23743,23783,24551,24583,24603,27054,27770,27771,29442,29447,29540,29549,40660,40667,40678,43330,43554,48610,48621,49046,49053,49073,49354,49371,50035,50971,50994,55770,61549,61569,61574,61579,61584,67521,67547,68923,68933,68951,68974,74118,74863,74929,77922,80640,81557,83750,83793,83801,83813,83863,84038,84438,84443,84445,84549,84553,84619,84796,84810,84823,84826,84844,85266,85277,85278,85279,85292,85301,85461,85475,85488,85491,85509,85931,85942,85943,85944,85957,85966,86000,86299,86303,86371","341","Lower-priority member of semantic cluster led by row 615 (Champion: 'Topology File')"
"prmtop","prmtop","Alternative name for the Amber parameter-topology file.","data format","yes","1886,14934,15099,16113,16116,16124,16150,16463,17776,18202,19627,19678,19750,22161,22172,22511,22532,23743,23783,24551,24583,24603,27054,27770,27771,29442,29447,29540,29549,40660,40667,40678,43330,43554,48610,48621,49046,49053,49073,49354,49371,50035,50971,50994,55770,61549,61569,61574,61579,61584,67521,67547,68923,68933,68951,68974,74118,74863,74929,77922,80640,81557,83750,83793,83801,83813,83863,84038,84438,84443,84445,84549,84553,84619,84796,84810,84823,84826,84844,85266,85277,85278,85279,85292,85301,85461,85475,85488,85491,85509,85931,85942,85943,85944,85957,85966,86000,86299,86303,86371","341","Lower-priority member of semantic cluster led by row 615 (Champion: 'Topology File')"
"prmtop","prmtop","Amber parameter-topology file containing system-specific force field information.","data format","yes","1886,14934,15099,16113,16116,16124,16150,16463,17776,18202,19627,19678,19750,22161,22172,22511,22532,23743,23783,24551,24583,24603,27054,27770,27771,29442,29447,29540,29549,40660,40667,40678,43330,43554,48610,48621,49046,49053,49073,49354,49371,50035,50971,50994,55770,61549,61569,61574,61579,61584,67521,67547,68923,68933,68951,68974,74118,74863,74929,77922,80640,81557,83750,83793,83801,83813,83863,84038,84438,84443,84445,84549,84553,84619,84796,84810,84823,84826,84844,85266,85277,85278,85279,85292,85301,85461,85475,85488,85491,85509,85931,85942,85943,85944,85957,85966,86000,86299,86303,86371","341","Lower-priority member of semantic cluster led by row 615 (Champion: 'Topology File')"
"Progress Display","progress","Controls the display of calculation progress during solution","state","yes","3757,35996,36001,36008,36013,36447,40119,40277,40282,40287,47002,87909,87983,96583,97583,126595,131807,138104,167047,216405,216658","21","Lower-priority member of semantic cluster led by row 620 (Champion: 'progress')"
"PropPDB","PropPDB","A program to propagate a crystal unit cell to create a supercell.","software","yes","105476,105480,105510,105530,105550,105781","6","Lower-priority member of semantic cluster led by row 621 (Champion: 'PropPDB')"
"ProScrs.py","ProScrs.py","A 'Protein Scissors' program for cutting and capping protein segments.","software|process","yes","98745,100512,100517,100525,100533,100607,100618,100626,100637,100647,100660,100668,100676","13","Lower-priority member of semantic cluster led by row 623 (Champion: 'ProScrs.py')"
"ProScrs.py","ProScrs.py","A 'Protein Scissors' program for cutting and capping protein segments.","software|process","yes","98745,100512,100517,100525,100533,100607,100618,100626,100637,100647,100660,100668,100676","13","Lower-priority member of semantic cluster led by row 623 (Champion: 'ProScrs.py')"
"py_resp.py","py_resp.py","A Python program for electrostatic potential (ESP) fitting.","software","yes","100887,100890,100911,101022,101037,101049,101077,101084,101319,101325,101337,101408,102576,102582,102594,103063,103082,103419,103426,103436,103883,103898,103983,105112,105133,105147,105157,105167,105214,105300,105306,105331,105348,116683,116688","35","Lower-priority member of semantic cluster led by row 626 (Champion: 'py_resp.py')"
"PyMol","PyMol","A molecular visualization system","software","yes","27661,27671,27728,27746,27756,27767,27776,27780,27795,27812,27818,27836,27844,68693,70971,103534,103659,103660","18","Lower-priority member of semantic cluster led by row 628 (Champion: 'PyMol')"
"pyMSMT","pyMSMT","Python Metal Site Modeling Toolbox software package.","software","yes","2025,90393,90397,98573,98576,98588,98613","7","Lower-priority member of semantic cluster led by row 630 (Champion: 'pyMSMT')"
"pype-resp.py","pype-resp.py","A pipeline to facilitate and standardize the derivation of RESP charges.","software|process","yes","103502,103524,103839,103903,103938,103947,103978,103988,104154,104223,104237,104257,104277,104321,104355,104383,104399,104425,104478,104488,104512,105011,105059,105137,105270,105296","26","Lower-priority member of semantic cluster led by row 632 (Champion: 'pype-resp.py')"
"pyresp_gen.py","pyresp_gen.py","A program to automatically generate input files for py_resp.py.","software","yes","101055,101058,101068,101097,101241,101247,101253,101257,101261,101265,101269,101273,101311,101415,101420,103869,103874,104826","18","Lower-priority member of semantic cluster led by row 634 (Champion: 'pyresp_gen.py')"
"pytraj","pytraj","Python wrapper for cpptraj enabling advanced data analysis workflows","software","yes","2168,188788,188791,188805,188860,188869,188875,188887,188895,188903,188910,188927,188933,188948,188963,188992,189006,189076,189086,189138,189248,189267,189357,189367,189418,189429,189438,189519,189568,189640,189653","32","Lower-priority member of semantic cluster led by row 637 (Champion: 'pytraj')"
"QM Atom Indices","iqmatoms","Array of atom indices to be treated with QM.","identifier|data format","yes","48242,49330,49347,49361,49366,52697,121068,121073,121908","9","Lower-priority member of semantic cluster led by row 638 (Champion: 'QM Atom Indices')"
"QM Region Charge","qmcharge","Total charge of the user-specified qm atom list","measure","yes","45851,46201,46206,47240,48617,48623,49297,50438,50443,50938,52705,52761,58461,59034,59652,63403,63566,63571,66687,112585,121222,121227,190846,192225","25","Lower-priority member of semantic cluster led by row 655 (Champion: 'QM Charge')"
"QM Region Charge","qmcharge","The net charge of the quantum mechanics region.","measure|state","yes","45851,46201,46206,47240,48617,48623,49297,50438,50443,50938,52705,52761,58461,59034,59652,63403,63566,63571,66687,112585,121222,121227,190846,192225","25","Lower-priority member of semantic cluster led by row 655 (Champion: 'QM Charge')"
"QM Region Mask","qmmask","A selection string defining the atoms in the QM region","identifier","yes","48238,49292,49334,49351,49378,49383,52693,52756,56185,56245,56326,56381,57161,57226,57287,57385,57455,58456,59029,59647,59760,59966,63388,63474,63481,63486,63502,63512,63578,63888,64074,64133,66682,112580,121079,121895,121900,123556,124662,125857,125996,138863,138875,138883,190820","46","Lower-priority member of semantic cluster led by row 661 (Champion: 'Dynamical QM Region')"
"QM Region Mask","qmmask","Amber mask specifying the dynamical QM atoms","identifier","yes","48238,49292,49334,49351,49378,49383,52693,52756,56185,56245,56326,56381,57161,57226,57287,57385,57455,58456,59029,59647,59760,59966,63388,63474,63481,63486,63502,63512,63578,63888,64074,64133,66682,112580,121079,121895,121900,123556,124662,125857,125996,138863,138875,138883,190820","46","Lower-priority member of semantic cluster led by row 661 (Champion: 'Dynamical QM Region')"
"QM Region Mask","qmmask","Amber selection mask to define the QM region.","identifier|data format","yes","48238,49292,49334,49351,49378,49383,52693,52756,56185,56245,56326,56381,57161,57226,57287,57385,57455,58456,59029,59647,59760,59966,63388,63474,63481,63486,63502,63512,63578,63888,64074,64133,66682,112580,121079,121895,121900,123556,124662,125857,125996,138863,138875,138883,190820","46","Lower-priority member of semantic cluster led by row 661 (Champion: 'Dynamical QM Region')"
"QM SHAKE","qmshake","Controls whether SHAKE is applied to QM atoms.","algorithm|method","yes","50019,50024,50038,66697,112590,121418,121423","7","Lower-priority member of semantic cluster led by row 645 (Champion: 'QM SHAKE')"
"QM Theory","qm_theory","Specifies the level of theory (Hamiltonian) for the QM region","model","yes","44974,45851,45946,46014,47236,48744,48757,49302,49839,49909,49969,50287,50903,52684,52771,56190,56249,56331,56385,57166,57230,57292,57390,57459,58466,59039,59657,64738,64767,66692,92188,92228,96806,112595,121999,122004,122009,123566,124682,125871,126010,190825,190830,192229","44","Lower-priority member of semantic cluster led by row 653 (Champion: 'Semi-empirical Hamiltonian')"
"QM Theory","qm_theory","String defining the level of quantum mechanics theory to use.","model|method","yes","44974,45851,45946,46014,47236,48744,48757,49302,49839,49909,49969,50287,50903,52684,52771,56190,56249,56331,56385,57166,57230,57292,57390,57459,58466,59039,59657,64738,64767,66692,92188,92228,96806,112595,121999,122004,122009,123566,124682,125871,126010,190825,190830,192229","44","Lower-priority member of semantic cluster led by row 653 (Champion: 'Semi-empirical Hamiltonian')"
"QM/MM Switching Function","qmmm_switch","Flag to use a switching function for QM/MM interactions.","method|model","yes","49025,49614,49727,49775,121040,121057,121831,121836","8","Lower-priority member of semantic cluster led by row 649 (Champion: 'QM/MM Switching Function')"
"QM/MM+ΔMLP","QM/MM+ΔMLP","A QM/MM model corrected by a machine learning potential","model|method","no","","0","Lower-priority member of semantic cluster led by row 651 (Champion: 'QM/MM+ΔMLP')"
"qm_theory","qm_theory","Specifies the semi-empirical Hamiltonian for a QM calculation","identifier","yes","44974,45851,45946,46014,47236,48744,48757,49302,49839,49909,49969,50287,52684,52771,56190,56249,56331,56385,57166,57230,57292,57390,57459,58466,59039,59657,64738,64767,66692,92188,92228,112595,121999,122004,123566,124682,125871,126010,190825,190830,192229","41","Lower-priority member of semantic cluster led by row 653 (Champion: 'Semi-empirical Hamiltonian')"
"QM/MM Non-bonded Cutoff","qmcut","Non-bonded cutoff in Angstroms for QM/MM interactions.","measure|unit","yes","49136,49141,49307,49397,49402,49411,49732,52562,52794,53778,54106,54511,54847,55506,66702,112600,120732,120737,121042,190866,190871","21","Lower-priority member of semantic cluster led by row 656 (Champion: 'QM/MM Cutoff')"
"qmcut","qmcut","The cutoff for QM/MM charge interactions","measure","yes","49136,49141,49307,49397,49402,49411,49732,52562,52794,53778,54106,54511,54847,55506,66702,112600,120732,120737,121042,190866,190871","21","Lower-priority member of semantic cluster led by row 656 (Champion: 'QM/MM Cutoff')"
"Generalized Born for QM/MM","qmgb","An implicit solvent model adapted for QM/MM simulations","model|method","yes","49787,49792,49830,121089,121094,121134","6","Lower-priority member of semantic cluster led by row 660 (Champion: 'QM Generalized Born Treatment')"
"QM-MM Interaction Handling","qmmm_int","Controls the way the QM-MM interaction is handled.","method|model","yes","47167,47205,47248,48740,48753,49881,49909,49911,56195,56253,56336,56389,57171,57235,57297,57395,57464,121599,121604","19","Lower-priority member of semantic cluster led by row 663 (Champion: 'QM/MM Interaction Scheme')"
"r-RESPA","r-RESPA","A multiple time step integration algorithm","algorithm|method","yes","36640,36671,36690,40327,40363,98424,98556","7","Lower-priority member of semantic cluster led by row 665 (Champion: 'r-RESPA')"
"R6 integration","R6 integration","A numerical integration method over the molecular surface for Born radii","method|algorithm","no","","0","Lower-priority member of semantic cluster led by row 666 (Champion: 'R6 integration')"
"radiopt","radiopt","Option to select the source of atomic radii for PB calculations","identifier","yes","22701,24527,24532,24603,27052,27055,27171,27273,27282,27342,27477,28113,30235,30317,31040,119155,119231,119269,191148,191153,192301","21","Lower-priority member of semantic cluster led by row 668 (Champion: 'radiopt')"
"radiopt","radiopt","An option to set up atomic radii for PB calculations","identifier","yes","22701,24527,24532,24603,27052,27055,27171,27273,27282,27342,27477,28113,30235,30317,31040,119155,119231,119269,191148,191153,192301","21","Lower-priority member of semantic cluster led by row 668 (Champion: 'radiopt')"
"RATTLE","RATTLE","An algorithm for constraining bonds in velocity-Verlet integration.","algorithm","yes","98419,111305,111347,111352,111811","5","Lower-priority member of semantic cluster led by row 672 (Champion: 'RATTLE')"
"rbornstat","rbornstat","Flag to report statistics of effective Born radii during simulation","identifier","yes","20154,20159,20166,22647,22906","5","Lower-priority member of semantic cluster led by row 673 (Champion: 'rbornstat')"
